id;nom_client;prenom_client;adresse_client;num_client
1;reciprocal withdrawal;synthesize compressing;multi-byte Administrateur;paradigm
2;foreground XSS engage;a interfaces;Handcrafted iterate PNG;Account
3;content;Jewelery c;Licensed;uniform content
4;a Wooden;Metal Wooden back-end;Avon online;index
5;transitional Multi-layered Hryvnia;orange;hub encoding Canada;b a
6;payment;Rhône-Alpes neural;migration Plastic Small;Automotive Fantastic Ball
7;Pants;Market Gorgeous;back-end Cambridgeshire Cotton;wireless COM Licensed
8;Superviseur Account b;Checking;feed;b cutting-edge Account
9;copying viral systems;invoice cohesive;Corse generating;Basse-Normandie Sausages
10;index;e-business Loan;Shoes;hack synthesize alarm
