id;adresse_commande;etat;date_commande;prix_total;remise_perc;remice_val;prix_livreson;date_sortie
1;back-end PCI;calculating;2022-05-15T00:38:36;97545;42697;38038;57402;2022-05-14T21:33:48
2;Total multi-byte;deposit feed;2022-05-15T09:00:37;9409;83577;54746;22793;2022-05-15T05:38:44
3;online Guinée;Sausages a c;2022-05-14T22:43:07;36484;89526;31057;18149;2022-05-15T18:03:22
4;Languedoc-Roussillon out-of-the-box Aquitaine;Lorraine payment mobile;2022-05-15T06:25:46;96888;76570;74730;24446;2022-05-15T06:04:04
5;Rupiah mindshare;Picardie;2022-05-15T06:12:14;50516;41936;20428;43577;2022-05-15T09:07:38
6;up;Uganda;2022-05-15T10:50:09;31354;86870;53549;57695;2022-05-14T20:57:22
7;Licensed;pixel interfaces c;2022-05-15T11:01:43;12686;66786;51369;37449;2022-05-15T09:36:26
8;bypass Buckinghamshire Wooden;Outdoors web convergence;2022-05-14T22:49:49;80175;30181;56308;20169;2022-05-15T00:59:24
9;monetize;deposit;2022-05-15T03:52:48;70896;20144;93192;54596;2022-05-15T06:41:07
10;Berkshire;leading-edge;2022-05-14T20:30:43;74525;57955;84962;18652;2022-05-15T19:08:49
