id;nom_livreur;prenom_livreur;adresse_livreur;num_livreur
1;Reduced Languedoc-Roussillon;index Cambridgeshire Borders;wireless orchid Nakfa;Gorgeous calculating
2;bypass Mandatory;Coordinateur navigating Shoes;Soft a;paradigms la Bahreïn
3;Sports;leading-edge Chicken XSS;Cambridgeshire;a
4;1080p array;des;payment Chair;Account
5;Steel Picardie solid;engage EXE;deposit leading-edge;parallelism quantifying
6;Granite;b PCI Reverse-engineered;a;Nord-Pas-de-Calais global
7;Steel SSL uniform;user-facing brand;Gloves Chicken Hat;Savings
8;1080p;Table Charron encompassing;Saint-Séverin virtual;green maximized non-volatile
9;olive Account niches;b microchip;e-business;b web-readiness
10;Guinée Account deploy;hacking SAS SMS;tan;c
